DOORS ID,Taipei Circle Line Alarm List (English),Taipei Circle Line Alarm List (Chinese),TWC,CBTC,WSP,MLK,Core,LATS,PSD,SCADA,PSIS,VHD,ALARM EQUATE,Alarm Description (English),Alarm Description (Chinese),Alarm Code Prefix,PRI,Train Status,Territory-Based Y/N,Routing,ACK Policy,Inactive Policy,Inactive Condition,Source Mapping,Subsystem ,Feature,Related Work Item,"""Fixed"" 
Release(s)",Notes
ATS_GA_AL-51,Host <COMPUTER>: Abort Of Software Process <PROCESS> Is Detected,,,,,,X,,,,,,SW_PROC_ABORTED,Alarm generated when an ATS software task ends abnormally.,,A053,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-52,Host <COMPUTER>: Exit Of Software Process <PROCESS> Is Detected,,,,,,X,,,,,,SW_PROC_HANGUP,Alarm generated when an ATS software task exits normally.,,A054,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-53,Host <COMPUTER> Failure Of Software Process <PROCESS> Is Detected,,,,,,X,,,,,,SW_PROC_RDFAIL,Alarm generated when an ATS software task fails.,,A055,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-54,Host <COMPUTER>: Message Bus Reconnect Has Been Forced For Software Process <PROCESS>,,,,,,X,,,,,,SW_PROC_RHANGUP,Alarm generated when a software task is forced to reconnect to the message bus. This usually results from a task falling behind on its processing.,,A056,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-55,DragandDrop Operation For <PVID><TID> And <LOCATION><DEVICE>  Failed,,,,,,X,,,,,,TSHDRAGDROP,Alarm generated when a Drag and Drop operations fails.,,A057,5,NA,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-56,Train <PVID1> Number <TID1>: PVID Changed From <PVID1> To New <PVID2> By <USER TITLE>,,,,,,X,,,,,,TSHMVEHCHG,Alarm generated when a trains PVID is changed by an ATS user.,,A058,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-57,<TID1><PVID> At <TRACKING LOC>: Tracking ID Changed From <TID1> To <TID2> By <USER TITLE>,,,,,,X,,,,,,TSHRENAME,Alarm generated when a trains TID has changed due to a Change ID or Swap ID function.,,A059,4,Minor,N,"Dispatcher, Supervisor, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-58,<TID> At <TRACKING LOC>: TID Has Been Created By <USER TITLE>,,,,,,X,,,,,,TSHTRNCREATE,Alarm generated when a train has been created and given a TID by an ATS user.,,A060,4,Minor,N,"Dispatcher, Supervisor, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-59,<TID> At <TRACKING LOC>: TID Has Been Deleted ,,,,,,X,,,,,,TSHTRNDELETE,Alarm generated when a Tracking ID has been deleted.,,A061,4,Minor,N,"Dispatcher, Supervisor, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-60,TSR <NUMBER>: Created By ATS Subsystem Between <MILEPOST> On Track <DEVICE> And <MILEPOST> On Track <DEVICE>,,,,,,X,,,,,,TSR_CREATED_FROM_ZNC,Alarm generated when ATS creates a TSR from data in the CBTC Subsystem for a TSR that is not already in the ATS Subsystem as a planned or applied TSR.,,A064,4,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,"CBTC Message Type 112",ATS,NA,"4089/
6921/
12838/
17422","4.8    
4.9",
ATS_GA_AL-62,Track <LOCATION>< DEVICE>: No Train Found For Occupancy On Approach,,,,,,X,,,,,,TTT_APP_UNKNW_ALM,Alarm generated when a approach track occupies and the occupancy does not have a train or vehicle ID associated with the occupancy.,,A065,2,NA,Y,User(s) who owns the territory where the alarm  event occurred,Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-63,<PVID><TID> At <TRACKING LOC>: Completely Wake Up Command Has Timed Out ,,,X,,,,,,,,,VR_COMPLETELY_WAKEUP_CMD_TIMEOUT,Alarm generated when no State was received within an acceptable time limit from a vehicle that was commanded to Completely Wake Up.,,A069,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,Sleeping Mode Management ,6963,4.8,
ATS_GA_AL-64,<PVID><TID> At <TRACKING LOC>: Dwell Extended Because Of Conditions Ahead ,,,,,,X,,,,,,VR_DWELL_EXTENDED,Alarm generated by VR when a train should be closing its doors but is being held at a station due to conditions ahead (due to a failure such as another stopped train).,,A070,4,Major,Y,User(s) who owns the territory where the alarm  event occurred,Automatic,Inactive Condition,Train is no longer being held at a station due to conditions ahead.,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-65,<PVID><TID> At <TRACKING LOC>: Train Has A Route Available Based On DID <DID>,,,,,,X,,,,,,VR_HAS_ROUTE_BASED_ON_DID,"Alarm generated by VR when the dispatcher assigns a DID to a train which is configured with a route from the trains current position. This alarm is only generated after the dispatcher previously assigned a DID that was not configured with a route from the trains current position.
**Has no corresponding MSG, is generated directly by ALMSVR for one POS only.",,A071,5,NA,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-66,<PVID><TID> At <TRACKING LOC>: Major Ahead Of Schedule,,,,,,X,,,,,,VR_MAJOR_AHEAD,"Alarm (Critical) generated by VR when a train stops at a station and is considered to have a major ahead against the schedule. The amount of time considered to be a major ahead is configurable and the alarm will only be issued if the system is in schedule regulation mode, the option to alarm major ahead is on, and the vehicle is not in the depot.",,A072,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Automatic,Inactive Condition,"* Major Ahead is no longer reported 
* System is switched to headway mode 
* System is switched to no regulation mode 
* Vehicle regulation is active",Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-68,<PVID><TID> At <TRACKING LOC>: Major Delay,,,,,,X,,,,,,VR_MAJOR_DELAY,"Alarm (Critical) generated by VR when a train stops at a station and is considered to have a major delay against the schedule. The amount of time considered to be a major delay is configurable and the alarm will only be issued if the system is in schedule regulation mode, the option to alarm major delays is on, and the vehicle is not in the depot.",,A074,3,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Manual,Inactive Condition,"* Major Delay is no longer reported 
* System is switched to headway mode 
* System is switched to no regulation mode 
* Vehicle regulation is active",Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-70,<PVID><TID> At <TRACKING LOC>: Minor Ahead Of Schedule,,,,,,X,,,,,,VR_MINOR_AHEAD,"Alarm (Critical) generated by VR when a train stops at a station and is considered to have a minor ahead against the schedule. The amount of time considered to be a minor ahead is configurable and the alarm will only be issued if the system is in schedule regulation mode, the option to alarm minor ahead is on, and the vehicle is not in the depot.",,A076,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Automatic,Inactive Condition,"* Minor Delay is no longer reported 
* System is switched to headway mode 
* System is switched to no regulation mode 
* Vehicle regulation is active",Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-71,<PVID><TID> At <TRACKING LOC>: Minor Delay,,,,,,X,,,,,,VR_MINOR_DELAY,"Alarm (Critical) generated by VR when a train stops at a station and is considered to have a minor delay against the schedule. The amount of time considered to be a minor delay is configurable and the alarm will only be issued if the system is in schedule regulation mode, the option to alarm minor delays is on, and the vehicle is not in the depot.",,A077,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Automatic,Inactive Condition,"* Minor Delay is no longer reported 
* System is switched to headway mode 
* System is switched to no regulation mode 
* Vehicle regulation is active",Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-72,<PVID><TID> At <TRACKING LOC>: Train Has No Route Based On DID <DID> ,,,,,,X,,,,,,VR_NO_ROUTE_BASED_ON_DID,Alarm generated when dispatcher assigns a DID to a train that does not have a route configured for the trains current location.,,A078,2,Major,Y,User(s) who owns the territory where the alarm  event occurred,Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-73,<PVID><TID> At <TRACKING LOC>: Park Command Has Timed Out ,,,X,,,,,,,,,VR_PARK_CMD_TIMEOUT,Alarm generated when no State was received within an acceptable time limit from a vehicle that was commanded to Park.,,A079,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,Misc ATS,ATS,Sleeping Mode Management ,6963,4.8,
ATS_GA_AL-74,<PVID><TID> At <TRACKING LOC>: Park Command Failure; Park Unavailable ,,,X,,,,,,,,,VR_PARK_FAILURE_PARK_NOT_AVAIL,Alarm generated when the Park command is unavailable for a train that is being automatically parked.,,A080,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,CBTC Message Type 170,ATS,Sleeping Mode Management ,6963,4.8,
ATS_GA_AL-75,<PVID><TID> At <TRACKING LOC>: Partially Wake Up Command Has Timed Out ,,,X,,,,,,,,,VR_PARTIALLY_WAKEUP_CMD_TIMEOUT,Alarm generated when no State was received within an acceptable time limit from a vehicle that was commanded to Partially Wake Up.,,A081,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,CBTC Message Type 170,ATS,Sleeping Mode Management ,6963,4.8,
ATS_GA_AL-76,<PVID><TID> At <TRACKING LOC>: Train Is AT Last Revenue Stop ,,,,,,X,,,,,,VR_TRAIN_AT_LAST_REVENUE_STOP,Alarm generated by VR when a train stops at its last scheduled revenue stop.,,A085,2,Major,Y,User(s) who owns the territory where the alarm  event occurred,Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-78,<PVID><TID> At <TRACKING LOC>: Train Has Finished Last Movement,,,,,,X,,,,,,VR_TRAIN_FINISHED_LAST_MOVEMENT,Alarm generated by VR when a train no longer has a scheduled movement.,,A086,5,NA,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-79,<PVID><TID> At <TRACKING LOC>: In Service Request; An Error Reply Received For Request,,,,,,X,,,,,,VR_TRAIN_INSERVICE_NOT_CHANGED_ERROR_RPLY,Alarm generated when an error reply is received for a request to place a vehicle in service.,,A087,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-80,<PVID><TID> At <TRACKING LOC>: In Service Request; No Vehicle Found For Request,,,,,,X,,,,,,VR_TRAIN_INSERVICE_NOT_CHANGED_NO_VEH,Alarm generated when no vehicle is found for a request to place a vehicle in service.,,A088,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-81,<PVID><TID> At <TRACKING LOC>: In Service Request; Vehicle Not In Automatic Mode,,,,,,X,,,,,,VR_TRAIN_INSERVICE_NOT_CHANGED_VEH_NOT_AUTO,Alarm generated when the vehicle is not in automatic mode upon a request to place the vehicle in service.,,A089,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-82,<PVID><TID> At <TRACKING LOC>: Train Is Starting Last Revenue Trip,,,,,,X,,,,,,VR_TRAIN_NEAR_LAST_REVENUE_STOP,Alarm generated by VR when a train is at the first station of its last scheduled revenue trip (just changed to final revenue DID).,,A090,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-83,<TID> At <TRACKING LOC>: Creation Failed; Creation Time Unavailable,,,,,,X,,,,,,VR_TRAIN_NOT_CREATED_CREATE_TIME_PROB,Alarm generated by VR when a train creation fails because the starting time cannot be retrieved from the schedule.,,A091,4,Minor,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-84,<TID> At <TRACKING LOC>: Creation Failed; Starting Location Or DID Unavailable,,,,,,X,,,,,,VR_TRAIN_NOT_CREATED_LOC_OR_DID_PROB,Alarm generated by VR when a train creation fails because the starting location or DID cannot be retrieved from the schedule.,,A093,4,Minor,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-85,<TID> At <TRACKING LOC>: Creation Failed; Vehicle Already Exists,,,,,,X,,,,,,VR_TRAIN_NOT_CREATED_TRAIN_EXISTS,Alarm generated by VR when a train creation fails because the train already exists.,,A094,4,Minor,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-86,<PVID><TID> At <TRACKING LOC>: Train Will Automatically Be Set To Parked In <NUMBER> Minutes ,,,,,,X,,,,,,VR_VEHICLE_AUTO_SET_TO_PARKED,Alarm generated a configurable time ahead of when ATS will automatically set a vehicle to Parked State.,,A095,4,Minor,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,Sleeping Mode Management ,6963,4.8,
ATS_GA_AL-88,<PVID><TID> At <TRACKING LOC>: Train Did Not Depart As Expected After Door Was Commanded To Close ,,,,,,X,,,,,,VR_VEHICLE_DID_NOT_DEPART_AS_EXPECTED_ON,Alarm generated when VR detects that a train does not depart as expected after the door was commanded to close.,,A096,2,Major,Y,User(s) who owns the territory where the alarm  event occurred,Manual,Always Inactive,NA,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-87,<PVID><TID> At <TRACKING LOC>: Departed As Expected After Door Was Commanded To Close ,,,,,,X,,,,,,VR_VEHICLE_DID_NOT_DEPART_AS_EXPECTED_OFF,Alarm generated when VR detects that a train does not depart as expected after the door closed.,,A097,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-89,<PVID><TID> At <TRACKING LOC>: Train Did Not Stop At <LOCATION><DEVICE>  As Expected,,,,,,X,,,,,,VR_VEHICLE_DID_NOT_STOP_AS_EXPECTED,Alarm generated by VR when a vehicle does not stop at a station when it should have. This alarm will not be generated for an out-of- service platform or a platform where a skip- this-station is active since the vehicle should not stop in those cases.,,A098,4,Minor,Y,User(s) who owns the territory where the alarm  event occurred,Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-90,<TID> At <TRACKING LOC>: Train Is In Power Saving Mode,,,X,,,,,,,,,VR_VEHICLE_IN_POWER_SAVING_MODE,Alarm generated when the Saving Power State of a vehicle is enabled.,,A099,2,Major,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Manual,Inactive Condition,Inactive When Acked,CBTC Message Type 170,VEH,Sleeping Mode Management ,6963,4.8,
ATS_GA_AL-91,Number <TID> At <LOCATION> < DEVICE>: Creation Failed; Vehicle Is Not Available ,,,,,,X,,,,,,VR_VEHICLE_NEEDED_FOR_STARTUP_NOT_AVAILABLE_CRIT,Alarm generated by VR when a train creation fails because a vehicle is not available on the designated origin track defined in the schedule.,,A100,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
ATS_GA_AL-93,<TID> At <TRACKING LOC>: Creation Failed; Vehicle Is Not Ready,,,,,,X,,,,,,VR_VEHICLE_NEEDED_FOR_STARTUP_NOT_READY_CRIT,Alarm generated by VR when a train creation fails because a vehicle is not ready (startup criteria not met) on the designated origin track defined in the schedule.,,A102,5,NA,N,"Dispatcher, Supervisor, SysManager, Maintainer, Instructor, Trainee",Timed,Inactive Timeout (configured time),configured time elapsed,Misc ATS,ATS,NA,NA,CORE,
